,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1577673509203050496,2022-10-05 14:54:11+00:00,ThatMattOBrien,"Washington, DC",406,584,2,0,"RT @PollProjectUSA: POLL: @CenterStreetPAC/@MomentiveAI 

2022 #OHSen General Election
(D) Tim Ryan 49% (+9)
(R) J.D. Vance 38%
Undecided 1…"
1,1577673149268860929,2022-10-05 14:52:45+00:00,CenterStreetPAC,,127,2861,2,0,"RT @PollProjectUSA: POLL: @CenterStreetPAC/@MomentiveAI 

2022 #OHSen General Election
(D) Tim Ryan 49% (+9)
(R) J.D. Vance 38%
Undecided 1…"
2,1577671746098008068,2022-10-05 14:47:10+00:00,wooddems,Wood County OH,2289,1767,15,0,"RT @TaylorPopielarz: Just in:

#OHSen candidate @TimRyan (D) raised $17.2 million between July and September, his campaign says.

•105,455…"
3,1577671489301667840,2022-10-05 14:46:09+00:00,DiogenesMember,,717,25,0,0,@PollProjectUSA @CenterStreetPAC @MomentiveAI HAHAHA #OHSEN
4,1577670668119904258,2022-10-05 14:42:53+00:00,normanmiller7,,4998,1554,89,0,RT @ecreights: BEEP BEEP: All aboard the Workers First express!! @TimRyan is hitting the road to talk to every last voter as the race for #…
5,1577669913904386048,2022-10-05 14:39:53+00:00,garlandgates,"Shelby, Ohio, USA",1485,1896,0,1,"@joingles In ten minutes, I'll be out the door to put up more #yardsigns for #Democrats. #Election2022 #OHGov #OHSen"
6,1577669730348912640,2022-10-05 14:39:10+00:00,PollProjectUSA,United States,145,7416,2,7,"POLL: @CenterStreetPAC/@MomentiveAI 

2022 #OHSen General Election
(D) Tim Ryan 49% (+9)
(R) J.D. Vance 38%
Undecid… https://t.co/4aKK0chbgj"
7,1577669236763369472,2022-10-05 14:37:12+00:00,ButlerDemocrats,"224 Park Avenue Hamilton, Ohio",557,944,26,0,"RT @chevytothe_levy: NEW in #OHSEN: @TimRyan raised $17.2M in Q3, nearly 2x his last haul.

🔥 105k new grassroots donors
🔥 average online g…"
8,1577668113134456833,2022-10-05 14:32:44+00:00,plunderbund,Ohio,3272,14498,26,0,"RT @chevytothe_levy: NEW in #OHSEN: @TimRyan raised $17.2M in Q3, nearly 2x his last haul.

🔥 105k new grassroots donors
🔥 average online g…"
9,1577667921249243140,2022-10-05 14:31:58+00:00,JimHarr09011504,"Dorchester Bay, Boston",289,277,15,0,"RT @TaylorPopielarz: Just in:

#OHSen candidate @TimRyan (D) raised $17.2 million between July and September, his campaign says.

•105,455…"
10,1577667283987492865,2022-10-05 14:29:26+00:00,JeffParr1,,643,212,89,0,RT @ecreights: BEEP BEEP: All aboard the Workers First express!! @TimRyan is hitting the road to talk to every last voter as the race for #…
11,1577666930739126272,2022-10-05 14:28:02+00:00,4ever2runval96," Charlotte, North Carolina",6456,5308,3,0,RT @sistertoldjah: NEW --&gt;&gt; Politifact Approaches Hall of Shame Territory With ‘Most Nonsensical Fact Check' of J.D. Vance https://t.co/PDh…
